police_narrative,n_words,year,report_category,main_situation_class
FUH,1,2016,Mskduh,7
Parkeringsuheld!,1,2016,Exuh,7
P-KORT. Eneuheld.,2,2016,Exuh,0
færdselsuheld/statestikkort,1,2016,Exuh,3
FUH flugt.,2,2016,Anmsuh,0
Vigepligtsuheld.,1,2016,Anmsuh,6
"Peugeot 206,",2,2016,Anmsuh,0
Forsætlig påkørsel.,2,2016,Anmsuh,1
FUH-FLUGT,1,2016,Anmsuh,0
AMB FUH,2,2016,Exuh,1
FUH solouheld,2,2016,Exuh,0
P-Kort,1,2016,Exuh,5
FUH fastklemt,2,2016,Mskduh,2
FUH,1,2016,Anmsuh,0
Højresvingende,1,2016,Anmsuh,3
"FUH, vigepligt",2,2016,Anmsuh,6
FUH fastklemt.,2,2016,Anmsuh,0
P01,1,2016,Mskduh,6
FUH.,1,2016,Anmsuh,4
P-kort,1,2016,Exuh,1
"FUH, efteranmeldelse.",2,2016,Exuh,1
fodgænger påkørt,2,2016,Pskduh,8
P-kort,1,2016,Exuh,1
P-kort.,1,2016,Exuh,1
FUH Fanø,2,2016,Mskduh,0
"Part 1,",2,2016,Anmsuh,0
AMB-FUH,1,2017,Pskduh,2
FUH,1,2017,Exuh,1
FUH/bil-cyklist,1,2017,Anmsuh,4
FUH,1,2017,Anmsuh,5
Part,1,2017,Exuh,1
"Ambulance-FUH, venstresvingsulykke",2,2017,Anmsuh,4
Materielt fuh.,2,2017,Exuh,1
Ulykke.,1,2017,Anmsuh,5
tekst mangler,2,2017,Anmsuh,1
P-kort,1,2017,Exuh,3
Solouheld.,1,2017,Exuh,0
FUH.,1,2017,Anmsuh,6
Ej udfyldt,2,2017,Mskduh,0
Ej udfyldt,2,2017,Anmsuh,3
P-kort,1,2017,Exuh,2
FUH,1,2018,Exuh,1
FUH,1,2018,Anmsuh,6
Fuh-flugt,1,2018,Anmsuh,4
FUH,1,2018,Exuh,1
FUH bilist/cyklist,2,2018,Anmsuh,6
Færdselsuheld.,1,2018,Anmsuh,3
Knallert væltet.,2,2018,Anmsuh,0
P01blev påkørt.,2,2018,Anmsuh,7
FUH-flugt.,1,2018,Anmsuh,7
"Personbil,",1,2018,Anmsuh,0
FUH-flugt.,1,2018,Anmsuh,1
"FUH, vigepligt",2,2018,Anmsuh,6
FUH,1,2018,Pskduh,8
FUH,1,2019,Exuh,0
P-kort,1,2019,Exuh,8
FUH,1,2019,Anmsuh,0
P-kort.,1,2019,Exuh,0
FUH rundkørsel,2,2019,Anmsuh,6
AMB-FUH,1,2019,Pskduh,4
"FUH, lastbil/personbil",2,2019,Anmsuh,6
Part 1,2,2019,Exuh,1
MC væltet,2,2019,Pskduh,2
FUH,1,2019,Anmsuh,6
P-kort,1,2019,Exuh,1
P-KORT,1,2019,Exuh,7
Parkeringsskade.,1,2019,Anmsuh,7
Færdselsuheld.,1,2019,Mskduh,1
P-kort.,1,2019,Exuh,0
P-KORT,1,2019,Exuh,7
P-kort.,1,2019,Exuh,7
P-kort,1,2019,Exuh,7
